Date : 2024-07-13 17:34:50
Directory : /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0
Total : 100 files,  20661 codes, 1826 comments, 2885 blanks, all 25372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/websockets.rs                      | Rust       |        435 |         30 |         59 |        524 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/chat.rs                                | Rust       |         70 |          0 |          8 |         78 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/conv.rs                                | Rust       |         70 |         14 |         16 |        100 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/gpts.rs                                | Rust       |          4 |          7 |          7 |         18 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/mod.rs                                 | Rust       |          9 |          2 |          6 |         17 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/model.rs                               | Rust       |          7 |          0 |          2 |          9 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/oa_client.rs                           | Rust       |          9 |          0 |          4 |         13 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tool_call.rs                           | Rust       |        157 |         22 |         29 |        208 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/ai_tools.rs                      | Rust       |         24 |          0 |          5 |         29 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/mod.rs                           | Rust       |         16 |          3 |          8 |         27 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/spec.rs                          | Rust       |         50 |          4 |         12 |         66 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/weather.rs                       | Rust       |         40 |          5 |          8 |         53 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/utils/mod.rs                           | Rust       |          2 |          3 |          4 |          9 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/utils/x_value.rs                       | Rust       |         16 |          0 |          4 |         20 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/highlighter.rs             | Rust       |        164 |         10 |         19 |        193 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/markdown_editor.rs         | Rust       |        256 |         28 |         49 |        333 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/mod.rs                     | Rust       |        237 |          6 |         40 |        283 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/parser.rs                  | Rust       |        228 |         59 |         44 |        331 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/viewer.rs                  | Rust       |        158 |          2 |         14 |        174 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/mod.rs                           | Rust       |          3 |          0 |          1 |          4 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/ai_chat.rs                | Rust       |          0 |          0 |          1 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/create_task_modal.rs      | Rust       |        293 |         21 |         38 |        352 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/mod.rs                    | Rust       |        280 |         23 |         44 |        347 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/task_modal.rs             | Rust       |        734 |         46 |         83 |        863 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/mod.rs                     | Rust       |          3 |          0 |          0 |          3 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/sub_menu.rs                | Rust       |          0 |         15 |          3 |         18 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/task_cards.rs              | Rust       |        158 |         31 |         16 |        205 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/task_layout.rs             | Rust       |        280 |          4 |         33 |        317 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/filter.rs                                 | Rust       |         64 |          8 |         12 |         84 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/get_other.rs                              | Rust       |         52 |          0 |         11 |         63 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/get_tasks.rs                              | Rust       |         79 |          1 |         12 |         92 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/handle_live_data.rs                       | Rust       |        197 |         62 |         32 |        291 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/interact_tasks.rs                         | Rust       |        155 |          3 |         22 |        180 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/mod.rs                                    | Rust       |        230 |         27 |         36 |        293 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/sortable.rs                               | Rust       |         34 |         13 |          7 |         54 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/task_crud.rs                              | Rust       |         78 |         19 |         13 |        110 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/autocomplete.rs                  | Rust       |        208 |         65 |         25 |        298 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/carl_dark.rs                     | Rust       |        330 |         92 |         61 |        483 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/mod.rs                           | Rust       |          3 |          0 |          0 |          3 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/toasts.rs                        | Rust       |        270 |         91 |         46 |        407 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/update_tasks.rs                           | Rust       |        179 |          3 |         42 |        224 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/webworker.rs                                        | Rust       |         67 |         27 |         21 |        115 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/.cargo/config.toml                              | TOML       |          0 |          9 |          3 |         12 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/.env                                            | Properties |          1 |          0 |          0 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Cargo.lock                                      | TOML       |      1,590 |          2 |        190 |      1,782 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Cargo.toml                                      | TOML       |         15 |          2 |          4 |         21 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Dockerfile                                      | Docker     |         33 |          4 |          5 |         42 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/src/main.rs                                     | Rust       |        245 |         53 |         35 |        333 |
| Total                                                                                                                         |            |     20,661 |      1,826 |      2,885 |     25,372 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
